Path,Problem,Format,Dataset,Best known solution value,Best known bound
./capacitatedvehiclerouting/christofides1969/E/E-n101-k14.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n101-k8.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n13-k4.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n22-k4.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n23-k3.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n30-k3.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n31-k7.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n33-k4.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n51-k5.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n76-k10.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n76-k14.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n76-k7.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1969/E/E-n76-k8.vrp,capacitatedvehiclerouting,cvrplib,christofides1969,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT10.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT11.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT12.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT13.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT14.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT1.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT2.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT3.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT4.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT5.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT6.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT7.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT8.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/CMT/CMT9.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_cmt,,
./capacitatedvehiclerouting/christofides1979/M/M-n101-k10.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_m,,
./capacitatedvehiclerouting/christofides1979/M/M-n121-k7.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_m,,
./capacitatedvehiclerouting/christofides1979/M/M-n151-k12.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_m,,
./capacitatedvehiclerouting/christofides1979/M/M-n200-k16.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_m,,
./capacitatedvehiclerouting/christofides1979/M/M-n200-k17.vrp,capacitatedvehiclerouting,cvrplib,christofides1979_m,,
./capacitatedvehiclerouting/fisher1994/F/F-n135-k7.vrp,capacitatedvehiclerouting,cvrplib,fisher1994,,
./capacitatedvehiclerouting/fisher1994/F/F-n45-k4.vrp,capacitatedvehiclerouting,cvrplib,fisher1994,,
./capacitatedvehiclerouting/fisher1994/F/F-n72-k4.vrp,capacitatedvehiclerouting,cvrplib,fisher1994,,
./capacitatedvehiclerouting/augerat1995/A/A-n32-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n33-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n33-k6.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n34-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n36-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n37-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n37-k6.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n38-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n39-k5.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n39-k6.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n44-k6.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n45-k6.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n45-k7.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n46-k7.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n48-k7.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n53-k7.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n54-k7.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n55-k9.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n60-k9.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n61-k9.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n62-k8.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
./capacitatedvehiclerouting/augerat1995/A/A-n63-k10.vrp,capacitatedvehiclerouting,cvrplib,augerat1995_a,,
