Path,Problem,Format,Dataset,Best known solution value,Best known bound
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed08.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed09.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0020_seed10.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed08.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed09.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0040_seed10.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed08.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed09.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M010_N0060_seed10.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed08.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed09.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0020_seed10.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed08.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed09.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0040_seed10.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed01.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed02.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed03.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed04.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed05.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed06.txt,multipleknapsack,dellamico2018,kataoka2014,,
./multipleknapsack/kataoka2014/SMALL/probT1_0U_R50_T002_M020_N0060_seed07.txt,multipleknapsack,dellamico2018,kataoka2014,,
